Age,Annual Income (LPA),Borrowed Amount (LPA),Credit Score,Loan Tenure (months),Employment Status,Existing Loans,Marital Status,Education Level,Repayment Probability
37,5.28,5.75,887,37,Salaried,1,Married,Graduate,0.305
61,6.59,9.63,599,12,Salaried,1,Single,Post-Graduate,0.174
39,7.42,2.49,626,12,Salaried,2,Married,Post-Graduate,0.097
25,18.52,12.49,656,104,Self-Employed,1,Single,Graduate,0.105
52,2.55,1.0,645,225,Salaried,1,Single,Post-Graduate,0.08
42,7.02,3.08,893,49,Salaried,1,Single,Graduate,0.236
26,1.0,1.0,646,52,Self-Employed,1,Single,Graduate,0.083
55,20.06,17.19,661,222,Salaried,2,Married,Post-Graduate,0.096
42,22.17,9.37,861,167,Salaried,1,Married,Post-Graduate,0.235
21,9.38,3.93,757,144,Unemployed,0,Single,Graduate,0.249
40,9.62,11.44,798,160,Salaried,0,Married,Graduate,0.254
42,15.63,22.63,609,74,Self-Employed,3,Married,Graduate,0.049
31,23.8,13.16,646,97,Unemployed,1,Single,Graduate,0.205
33,15.27,16.23,596,95,Salaried,1,Married,Graduate,0.089
62,6.42,2.96,780,151,Self-Employed,0,Married,Post-Graduate,0.27
23,1.0,1.4,822,145,Salaried,2,Single,Post-Graduate,0.285
29,3.08,3.21,640,168,Self-Employed,0,Married,Graduate,0.091
32,12.59,15.41,663,120,Salaried,1,Single,Graduate,0.147
43,6.76,1.14,667,115,Unemployed,0,Married,Graduate,0.193
34,13.56,12.72,545,200,Self-Employed,0,Married,High School,0.046
53,7.58,6.36,632,46,Self-Employed,4,Single,Graduate,0.046
38,3.53,1.8,777,86,Self-Employed,2,Single,Graduate,0.209
61,2.58,1.21,612,136,Salaried,2,Married,Graduate,0.11
29,24.5,22.34,709,63,Salaried,4,Single,Graduate,0.096
43,19.11,20.81,569,44,Salaried,2,Married,Graduate,0.029
30,25.84,3.78,685,164,Salaried,0,Single,Post-Graduate,0.345
39,16.32,14.6,643,25,Self-Employed,3,Married,Graduate,0.083
25,8.56,2.9,577,232,Self-Employed,0,Married,Graduate,0.14
43,22.59,6.7,779,64,Salaried,3,Married,Post-Graduate,0.244
50,11.74,11.42,784,72,Salaried,1,Married,High School,0.239
45,13.77,7.37,603,24,Self-Employed,1,Married,Graduate,0.024
48,11.66,8.36,678,26,Salaried,0,Married,Graduate,0.264
54,1.0,1.0,704,66,Self-Employed,1,Single,Graduate,0.142
65,24.84,25.03,518,192,Salaried,0,Married,Graduate,0.0
45,15.93,12.08,560,211,Salaried,1,Married,Graduate,0.151
30,14.64,21.21,828,58,Self-Employed,0,Single,Graduate,0.213
34,11.51,6.83,593,184,Salaried,0,Single,Graduate,0.116
62,13.31,15.13,825,108,Salaried,0,Single,Graduate,0.151
50,7.22,3.32,565,86,Self-Employed,0,Married,Graduate,0.091
61,16.93,13.75,765,203,Salaried,1,Married,Graduate,0.211
45,1.54,1.35,668,26,Salaried,1,Married,Graduate,0.18
34,13.49,7.56,682,32,Unemployed,3,Married,Graduate,0.072
55,16.49,12.54,885,47,Self-Employed,0,Married,Graduate,0.328
54,10.41,5.11,574,209,Salaried,1,Married,Graduate,0.073
30,14.97,1.62,759,164,Salaried,1,Married,Graduate,0.284
55,4.07,1.64,755,55,Self-Employed,4,Single,Graduate,0.174
31,4.27,4.61,900,140,Salaried,3,Single,Graduate,0.239
31,13.89,16.38,592,53,Salaried,1,Married,Graduate,0.138
41,17.43,8.58,637,198,Salaried,0,Single,Post-Graduate,0.126
41,1.0,1.0,781,44,Salaried,0,Married,Graduate,0.201
42,16.18,2.46,679,114,Salaried,1,Married,Graduate,0.135
65,7.65,3.3,653,171,Self-Employed,0,Married,Post-Graduate,0.159
27,10.46,12.46,795,205,Salaried,1,Married,High School,0.15
37,1.28,1.21,673,164,Salaried,1,Married,Graduate,0.169
22,5.19,2.01,610,51,Salaried,1,Single,Post-Graduate,0.13
32,19.73,9.08,772,197,Self-Employed,1,Married,Graduate,0.229
62,12.26,15.25,737,108,Salaried,0,Married,Post-Graduate,0.181
38,8.94,3.51,668,126,Salaried,0,Single,Graduate,0.139
31,11.07,6.29,663,113,Salaried,1,Single,Post-Graduate,0.208
36,15.91,16.39,608,214,Salaried,1,Married,High School,0.036
38,15.52,13.74,772,75,Salaried,2,Single,High School,0.102
55,11.4,8.5,663,158,Salaried,3,Married,Graduate,0.103
46,20.74,28.2,623,228,Salaried,1,Single,Post-Graduate,0.0
36,19.76,8.05,571,39,Unemployed,1,Single,Post-Graduate,0.152
26,15.31,17.42,739,213,Self-Employed,0,Single,Graduate,0.108
64,12.44,4.01,649,234,Self-Employed,1,Married,Graduate,0.189
63,17.26,16.6,498,91,Salaried,0,Married,Graduate,0.066
62,14.51,19.14,579,123,Self-Employed,0,Married,Graduate,0.0
32,20.49,15.18,676,181,Salaried,3,Married,Graduate,0.118
33,19.2,21.39,679,221,Salaried,1,Single,Post-Graduate,0.205
24,3.85,4.81,675,97,Salaried,0,Single,Graduate,0.209
59,3.31,1.0,661,189,Self-Employed,3,Married,Graduate,0.175
22,6.39,6.95,552,238,Salaried,1,Married,Post-Graduate,0.142
46,19.81,27.49,612,215,Salaried,0,Married,High School,0.076
47,1.0,1.0,818,117,Unemployed,2,Married,High School,0.19
47,15.16,5.47,803,231,Salaried,0,Single,Post-Graduate,0.279
35,14.9,4.14,757,59,Salaried,1,Married,Graduate,0.274
28,21.3,9.88,748,196,Salaried,3,Single,Graduate,0.154
27,13.44,3.29,790,20,Salaried,0,Single,Graduate,0.239
60,1.25,1.02,587,169,Self-Employed,1,Single,Graduate,0.105
32,4.33,1.0,703,157,Salaried,2,Married,High School,0.079
33,2.54,1.05,587,184,Salaried,2,Married,Graduate,0.058
63,7.7,5.51,589,227,Salaried,0,Married,High School,0.108
37,10.54,8.05,736,121,Salaried,1,Married,Graduate,0.109
37,2.68,2.39,794,94,Salaried,2,Married,Graduate,0.203
56,23.77,25.86,680,89,Salaried,1,Single,Graduate,0.031
41,1.4,1.0,864,77,Unemployed,3,Married,Post-Graduate,0.168
28,22.77,4.85,721,150,Salaried,0,Single,Post-Graduate,0.128
25,21.48,3.98,622,101,Self-Employed,1,Married,High School,0.214
46,19.19,13.29,591,83,Unemployed,2,Single,Post-Graduate,0.075
36,6.45,1.02,801,206,Salaried,0,Married,Post-Graduate,0.33
56,14.74,16.87,712,26,Salaried,0,Single,Graduate,0.14
48,1.78,1.0,767,120,Salaried,2,Single,Graduate,0.181
49,19.29,27.29,434,51,Salaried,1,Married,Graduate,0.0
32,11.41,8.91,724,152,Self-Employed,1,Single,Graduate,0.1
57,8.73,6.33,648,219,Salaried,1,Married,Graduate,0.128
50,2.21,2.64,560,97,Unemployed,1,Married,High School,0.097
43,1.0,1.1,693,44,Self-Employed,2,Single,Post-Graduate,0.165
36,3.69,3.51,809,137,Self-Employed,1,Married,Post-Graduate,0.19
34,20.9,29.45,900,141,Salaried,2,Married,Graduate,0.17
30,8.78,6.07,724,120,Salaried,1,Married,High School,0.109
27,10.65,13.12,629,232,Salaried,1,Single,Post-Graduate,0.114
65,17.24,10.9,623,121,Self-Employed,0,Married,High School,0.13
57,26.45,33.69,796,173,Salaried,1,Single,High School,0.196
49,22.6,10.47,600,27,Self-Employed,3,Single,Graduate,0.159
23,4.22,2.13,762,25,Salaried,1,Single,Post-Graduate,0.213
35,1.0,1.05,729,57,Salaried,0,Married,Post-Graduate,0.208
56,30.88,12.28,718,61,Salaried,3,Married,Graduate,0.238
39,30.15,12.69,543,124,Salaried,1,Married,Graduate,0.162
33,13.51,7.12,664,144,Salaried,1,Married,High School,0.138
62,1.84,1.93,554,54,Salaried,0,Married,Graduate,0.137
41,19.71,26.51,641,157,Salaried,1,Married,High School,0.053
57,11.14,11.63,791,59,Self-Employed,1,Single,Graduate,0.288
47,11.1,13.97,823,203,Salaried,2,Married,High School,0.172
49,19.16,16.5,721,165,Self-Employed,1,Married,Post-Graduate,0.215
40,14.67,2.88,642,213,Self-Employed,3,Married,Post-Graduate,0.171
45,2.51,1.0,858,209,Salaried,0,Married,Graduate,0.261
26,9.4,8.24,641,153,Salaried,0,Single,Post-Graduate,0.185
56,17.29,9.66,586,205,Salaried,2,Married,Graduate,0.107
22,16.08,6.57,769,200,Salaried,0,Single,Post-Graduate,0.144
42,14.1,10.61,745,230,Self-Employed,1,Married,High School,0.142
52,19.47,20.11,645,212,Unemployed,0,Married,Post-Graduate,0.09
36,9.11,5.82,710,216,Salaried,1,Single,Graduate,0.162
38,13.43,16.43,744,32,Unemployed,0,Married,Graduate,0.221
25,1.0,1.13,720,66,Self-Employed,2,Married,Graduate,0.139
56,8.4,9.48,745,127,Salaried,2,Married,Graduate,0.061
50,18.11,26.79,649,119,Salaried,1,Married,Post-Graduate,0.043
65,8.88,4.56,752,13,Salaried,0,Married,Graduate,0.255
39,8.27,8.29,701,142,Salaried,2,Married,Post-Graduate,0.135
43,3.67,4.76,652,24,Salaried,1,Married,Post-Graduate,0.102
54,20.03,18.25,675,32,Salaried,0,Married,Graduate,0.182
33,16.39,19.75,690,172,Salaried,0,Married,Graduate,0.131
63,18.6,12.65,555,159,Self-Employed,1,Married,Graduate,0.075
49,1.0,1.0,636,136,Salaried,2,Married,Post-Graduate,0.259
56,10.72,1.91,706,239,Salaried,1,Married,Graduate,0.092
42,9.76,14.45,564,157,Salaried,3,Single,Post-Graduate,0.0
56,9.76,11.91,638,228,Salaried,2,Married,Graduate,0.105
29,7.07,9.31,900,49,Unemployed,1,Single,Post-Graduate,0.258
59,9.23,9.89,587,36,Self-Employed,1,Married,Graduate,0.085
39,18.8,6.78,661,177,Salaried,1,Married,Graduate,0.116
58,1.0,1.0,616,154,Self-Employed,1,Married,Graduate,0.046
26,26.22,34.36,688,220,Salaried,1,Married,Post-Graduate,0.096
35,15.87,10.39,618,239,Salaried,0,Single,High School,0.104
40,11.66,5.47,675,168,Unemployed,1,Single,Graduate,0.194
29,19.25,17.06,628,108,Self-Employed,4,Single,Post-Graduate,0.002
52,1.0,1.0,805,203,Self-Employed,1,Married,Graduate,0.259
24,6.68,6.76,708,43,Unemployed,1,Single,Graduate,0.204
38,11.03,8.57,599,211,Salaried,1,Single,Graduate,0.06
25,22.92,24.66,784,54,Salaried,2,Married,Graduate,0.192
40,11.63,15.06,604,24,Salaried,2,Married,Graduate,0.117
43,15.6,5.83,543,220,Self-Employed,3,Married,Post-Graduate,0.113
31,7.28,4.09,699,224,Self-Employed,0,Married,Graduate,0.135
57,15.89,11.31,890,89,Self-Employed,1,Single,Post-Graduate,0.209
42,25.42,36.78,517,36,Salaried,2,Married,Graduate,0.0
24,19.96,12.2,566,60,Self-Employed,2,Married,Graduate,0.076
49,11.35,7.19,775,99,Self-Employed,0,Single,Post-Graduate,0.131
64,17.4,17.66,635,131,Salaried,2,Single,Graduate,0.122
54,16.62,11.42,761,236,Salaried,1,Married,Post-Graduate,0.147
33,16.05,22.98,616,147,Self-Employed,0,Married,Graduate,0.012
62,20.9,28.26,714,167,Self-Employed,1,Married,Graduate,0.135
29,20.84,17.06,874,222,Salaried,0,Married,Graduate,0.243
62,10.98,11.01,580,137,Salaried,3,Married,Graduate,0.058
51,17.14,3.11,802,22,Salaried,3,Single,Graduate,0.339
27,8.94,9.6,767,194,Self-Employed,1,Single,Graduate,0.204
24,4.62,5.04,551,21,Unemployed,1,Married,High School,0.104
39,9.84,5.93,755,70,Unemployed,3,Married,Graduate,0.193
62,11.39,4.64,707,76,Salaried,0,Single,Post-Graduate,0.12
50,1.0,1.38,709,144,Self-Employed,0,Single,Graduate,0.1
51,18.88,13.17,733,91,Salaried,0,Married,Post-Graduate,0.133
55,1.0,1.02,664,223,Self-Employed,2,Single,Post-Graduate,0.021
41,33.72,4.95,707,159,Salaried,2,Married,Post-Graduate,0.212
51,24.02,16.33,724,103,Self-Employed,2,Married,Graduate,0.272
39,9.91,12.33,774,144,Salaried,1,Single,Graduate,0.143
51,12.08,7.76,547,123,Self-Employed,0,Married,Graduate,0.114
52,14.42,13.62,829,206,Salaried,1,Single,Graduate,0.223
22,7.29,2.87,584,169,Salaried,3,Married,Graduate,0.072
30,13.54,9.25,776,98,Salaried,2,Single,Graduate,0.203
22,10.85,15.18,707,173,Salaried,2,Married,Post-Graduate,0.09
22,11.25,10.05,571,124,Salaried,1,Single,Graduate,0.052
44,13.45,18.33,752,129,Salaried,1,Married,Post-Graduate,0.147
37,1.49,2.03,605,103,Salaried,1,Married,Graduate,0.096
52,12.32,17.52,806,12,Self-Employed,0,Married,Graduate,0.169
36,13.31,18.02,628,123,Unemployed,0,Married,Graduate,0.08
36,13.03,1.36,550,166,Salaried,1,Married,Post-Graduate,0.077
59,10.27,14.46,853,130,Salaried,2,Married,Graduate,0.251
51,21.1,6.17,718,131,Salaried,1,Married,Post-Graduate,0.255
63,9.17,1.43,786,202,Salaried,2,Married,Graduate,0.248
44,13.82,2.45,614,45,Self-Employed,2,Married,High School,0.146
21,22.38,13.17,510,106,Salaried,2,Single,Post-Graduate,0.013
31,11.36,11.01,867,43,Self-Employed,1,Single,Graduate,0.292
41,13.72,9.1,699,127,Salaried,1,Married,Graduate,0.077
24,11.23,1.52,749,210,Self-Employed,2,Single,Graduate,0.256
27,21.9,16.8,765,237,Unemployed,1,Single,Graduate,0.26
46,9.94,7.15,666,185,Salaried,1,Single,Graduate,0.184
32,22.27,25.82,722,207,Unemployed,0,Single,Post-Graduate,0.113
51,11.17,5.49,859,222,Salaried,1,Married,Graduate,0.173
37,5.12,2.07,696,196,Salaried,1,Married,Graduate,0.135
53,17.43,7.99,794,33,Unemployed,0,Married,Graduate,0.238
31,9.56,5.02,500,168,Self-Employed,1,Single,Graduate,0.079
48,16.96,15.92,812,237,Salaried,0,Single,Graduate,0.194
52,1.0,1.0,547,109,Salaried,1,Married,Graduate,0.167
21,12.04,6.88,800,56,Salaried,1,Married,High School,0.216
48,8.32,5.19,739,184,Self-Employed,0,Single,Graduate,0.233
62,3.49,2.16,690,78,Self-Employed,0,Married,Graduate,0.19
27,7.57,11.06,690,32,Salaried,1,Single,Graduate,0.142
22,7.41,3.16,674,160,Self-Employed,0,Married,Graduate,0.174
62,11.62,14.47,617,199,Salaried,0,Single,Graduate,0.117
44,1.06,1.16,679,220,Salaried,0,Married,Graduate,0.059
24,14.53,1.57,900,40,Salaried,1,Married,Graduate,0.264
64,22.93,34.18,830,44,Salaried,1,Single,Graduate,0.092
39,14.25,16.52,612,178,Salaried,1,Married,Graduate,0.093
46,18.47,19.49,726,201,Salaried,2,Single,Post-Graduate,0.144
31,20.76,13.86,709,101,Salaried,0,Single,High School,0.129
60,21.89,19.2,685,137,Salaried,2,Married,Graduate,0.147
63,26.96,12.26,599,210,Salaried,2,Single,Post-Graduate,0.101
31,8.01,1.2,744,56,Salaried,3,Married,Graduate,0.202
65,6.25,7.94,784,197,Salaried,1,Married,Graduate,0.202
23,18.27,24.76,616,84,Salaried,1,Married,Graduate,0.039
32,17.67,5.79,895,93,Salaried,1,Married,Graduate,0.329
23,18.21,21.89,852,140,Unemployed,0,Single,Graduate,0.3
62,27.11,30.84,754,22,Salaried,2,Married,Post-Graduate,0.129
47,12.09,4.23,576,225,Salaried,1,Married,Post-Graduate,0.16
22,15.41,10.64,740,171,Self-Employed,3,Married,High School,0.191
36,4.16,2.88,728,118,Salaried,2,Married,Post-Graduate,0.144
22,29.08,33.85,751,213,Salaried,4,Single,Graduate,0.109
50,9.31,11.85,859,188,Salaried,1,Married,Post-Graduate,0.18
40,9.53,2.22,682,102,Salaried,2,Married,Graduate,0.229
58,9.23,8.2,900,215,Self-Employed,0,Married,Graduate,0.318
48,6.84,7.98,740,169,Salaried,0,Married,Graduate,0.165
45,6.16,7.4,670,71,Salaried,0,Married,Graduate,0.112
52,7.81,2.4,900,149,Salaried,1,Married,High School,0.306
30,1.07,1.0,782,215,Salaried,3,Married,Graduate,0.155
62,5.72,7.44,654,113,Salaried,1,Single,High School,0.127
60,27.59,15.06,708,160,Salaried,0,Single,Graduate,0.182
53,17.89,12.44,763,230,Self-Employed,0,Married,Graduate,0.246
33,19.41,23.8,684,17,Self-Employed,0,Single,Post-Graduate,0.115
61,21.42,4.82,713,177,Salaried,1,Married,Graduate,0.2
62,26.67,34.76,618,136,Self-Employed,1,Single,Post-Graduate,0.098
57,1.0,1.0,531,127,Self-Employed,2,Single,Graduate,0.046
36,2.16,1.0,710,197,Unemployed,0,Single,Graduate,0.142
65,5.57,2.38,714,19,Salaried,1,Married,Post-Graduate,0.24
42,8.24,1.86,752,240,Unemployed,0,Single,Graduate,0.222
40,9.6,2.2,642,81,Salaried,0,Single,Post-Graduate,0.105
63,8.42,9.01,565,202,Self-Employed,0,Married,Graduate,0.004
47,13.75,5.49,603,173,Salaried,0,Single,Post-Graduate,0.158
61,12.28,17.3,805,188,Self-Employed,2,Married,Graduate,0.098
36,6.22,5.12,633,51,Salaried,2,Single,Graduate,0.149
54,1.0,1.0,655,97,Self-Employed,3,Single,Graduate,0.092
52,4.06,2.87,668,40,Salaried,3,Married,Post-Graduate,0.207
46,7.61,8.14,638,20,Self-Employed,2,Married,Post-Graduate,0.149
45,10.02,7.35,630,32,Unemployed,2,Married,Graduate,0.069
22,2.96,1.0,612,43,Salaried,1,Single,Post-Graduate,0.164
32,8.07,10.75,840,83,Salaried,0,Single,Graduate,0.269
60,2.95,2.06,768,194,Salaried,0,Single,Post-Graduate,0.201
29,10.99,2.24,824,182,Salaried,2,Single,Post-Graduate,0.203
32,3.42,2.88,844,21,Unemployed,1,Single,Graduate,0.278
46,5.21,5.24,465,188,Salaried,1,Single,Graduate,0.06
29,1.53,1.0,734,98,Salaried,0,Single,Post-Graduate,0.224
30,10.77,13.14,641,95,Self-Employed,2,Single,Post-Graduate,0.097
52,5.07,5.26,811,152,Salaried,1,Married,Graduate,0.251
54,19.25,19.45,625,97,Salaried,1,Married,Graduate,0.037
40,15.25,10.51,594,52,Salaried,0,Married,Post-Graduate,0.071
59,11.44,16.55,556,218,Salaried,3,Single,Graduate,0.0
22,5.62,2.72,669,42,Salaried,2,Single,Graduate,0.247
21,15.04,13.67,791,120,Salaried,0,Single,Graduate,0.286
56,17.53,9.34,725,43,Salaried,2,Married,Graduate,0.266
44,13.14,15.02,579,184,Self-Employed,0,Married,Graduate,0.072
47,24.83,4.14,900,24,Salaried,0,Married,Graduate,0.271
22,15.68,2.58,764,132,Self-Employed,0,Single,Graduate,0.269
51,19.31,23.85,777,164,Self-Employed,1,Married,Graduate,0.11
34,13.07,9.25,828,224,Salaried,4,Married,High School,0.212
22,17.41,10.06,535,207,Self-Employed,1,Single,High School,0.094
49,5.63,5.35,608,129,Salaried,0,Married,Graduate,0.222
35,8.33,9.02,782,117,Self-Employed,1,Married,High School,0.283
32,14.79,5.65,618,26,Unemployed,1,Single,Graduate,0.129
57,14.74,5.3,672,75,Salaried,2,Single,Graduate,0.18
48,16.06,23.15,692,224,Self-Employed,2,Married,Post-Graduate,0.056
40,20.8,19.25,572,199,Salaried,0,Married,Graduate,0.045
59,1.0,1.0,663,128,Salaried,2,Married,Graduate,0.135
44,4.2,5.13,791,19,Salaried,0,Married,Graduate,0.141
41,13.84,11.56,772,234,Self-Employed,1,Married,High School,0.135
30,6.21,2.72,811,213,Salaried,1,Married,Graduate,0.265
34,39.02,15.2,800,224,Salaried,1,Married,Post-Graduate,0.09
57,16.13,10.57,740,156,Self-Employed,0,Married,Post-Graduate,0.109
38,11.37,14.82,732,16,Self-Employed,0,Married,Graduate,0.234
44,7.88,1.47,725,152,Self-Employed,1,Single,Graduate,0.256
34,8.16,3.31,637,32,Salaried,0,Married,Post-Graduate,0.108
54,12.24,16.53,597,128,Salaried,1,Married,High School,0.128
32,12.9,3.49,631,135,Unemployed,0,Married,Graduate,0.213
42,8.35,8.2,667,126,Salaried,1,Married,Graduate,0.145
26,9.81,3.91,634,55,Self-Employed,1,Married,Post-Graduate,0.148
56,22.75,21.57,741,215,Salaried,0,Married,High School,0.188
65,23.08,14.69,720,228,Self-Employed,1,Married,High School,0.146
56,14.02,3.4,730,64,Self-Employed,3,Married,Post-Graduate,0.212
42,1.27,1.16,735,167,Unemployed,3,Married,Graduate,0.2
34,16.31,17.23,819,77,Salaried,0,Single,Graduate,0.183
36,24.43,25.71,699,160,Self-Employed,1,Married,Post-Graduate,0.092
56,22.96,22.77,800,116,Salaried,0,Married,Graduate,0.26
45,17.88,14.31,751,137,Salaried,1,Married,Graduate,0.122
52,23.38,19.34,812,131,Salaried,1,Single,Graduate,0.239
53,12.43,12.3,861,225,Salaried,0,Married,Graduate,0.221
65,17.02,18.15,757,68,Salaried,1,Married,Graduate,0.199
56,6.55,6.66,710,66,Unemployed,2,Single,Graduate,0.169
40,14.34,13.22,709,141,Salaried,0,Single,Post-Graduate,0.123
38,22.64,7.2,652,105,Salaried,0,Married,Graduate,0.101
58,7.28,2.87,649,76,Unemployed,2,Married,Graduate,0.079
23,5.11,2.37,790,121,Salaried,0,Single,Post-Graduate,0.204
43,12.78,17.73,603,216,Salaried,0,Married,Post-Graduate,0.103
52,10.19,11.85,861,142,Salaried,0,Married,Post-Graduate,0.245
65,17.19,15.02,684,198,Salaried,1,Single,Graduate,0.178
36,8.37,3.79,900,223,Salaried,0,Married,Graduate,0.29
25,25.75,6.57,630,202,Salaried,2,Married,Graduate,0.155
24,1.68,2.28,725,16,Self-Employed,1,Single,Graduate,0.253
41,22.03,29.73,664,77,Self-Employed,1,Married,Graduate,0.096
60,5.88,1.5,620,101,Self-Employed,0,Married,Post-Graduate,0.21
34,1.0,1.22,806,232,Salaried,1,Married,High School,0.203
59,13.9,10.08,589,157,Salaried,2,Married,Post-Graduate,0.044
51,9.96,5.51,632,148,Salaried,2,Married,Graduate,0.144
34,3.12,3.54,758,161,Salaried,0,Single,Graduate,0.186
26,1.0,1.0,774,167,Self-Employed,2,Married,Post-Graduate,0.13
32,11.93,14.22,560,199,Salaried,2,Married,Graduate,0.118
36,19.81,4.04,758,151,Unemployed,2,Married,Post-Graduate,0.224
37,16.68,9.11,712,48,Salaried,1,Single,Post-Graduate,0.188
65,12.45,6.81,608,221,Salaried,1,Married,Graduate,0.068
43,15.83,8.89,621,130,Salaried,2,Single,Graduate,0.073
34,11.78,9.46,496,109,Salaried,0,Single,Graduate,0.072
27,1.0,1.0,871,181,Self-Employed,1,Single,Graduate,0.299
52,1.0,1.0,801,65,Unemployed,0,Married,Graduate,0.276
35,10.37,6.38,571,181,Salaried,1,Married,Graduate,0.059
64,10.71,12.1,779,133,Salaried,1,Single,Graduate,0.187
37,18.81,17.77,642,78,Salaried,1,Married,Graduate,0.259
61,18.06,18.33,791,67,Salaried,0,Single,Post-Graduate,0.178
64,16.84,6.65,650,57,Salaried,0,Single,Graduate,0.192
54,9.76,5.42,663,16,Self-Employed,2,Married,Post-Graduate,0.207
25,1.0,1.0,671,67,Self-Employed,1,Single,Graduate,0.143
65,15.3,3.85,634,162,Salaried,1,Married,Graduate,0.074
47,16.2,7.63,839,73,Salaried,1,Single,Post-Graduate,0.36
43,1.0,1.0,789,152,Self-Employed,1,Married,Graduate,0.193
60,5.33,5.03,710,70,Salaried,2,Married,Post-Graduate,0.213
34,6.47,9.69,802,227,Salaried,0,Married,Graduate,0.155
35,12.95,3.12,537,39,Salaried,2,Married,Post-Graduate,0.233
63,5.57,6.96,577,220,Salaried,0,Married,Graduate,0.167
53,11.69,3.11,747,17,Salaried,1,Married,Graduate,0.223
51,10.32,10.71,773,200,Salaried,4,Married,Post-Graduate,0.142
55,10.73,10.73,727,72,Salaried,3,Married,Graduate,0.144
37,6.27,8.55,511,230,Self-Employed,0,Single,Graduate,0.044
48,6.89,1.79,593,184,Salaried,3,Married,Graduate,0.059
39,3.36,1.82,741,104,Salaried,0,Single,Graduate,0.188
43,15.04,3.42,900,23,Self-Employed,2,Single,High School,0.204
52,16.57,11.11,821,174,Self-Employed,2,Married,Post-Graduate,0.185
60,5.84,8.04,857,73,Salaried,1,Married,High School,0.203
33,24.17,28.86,733,123,Unemployed,0,Married,Post-Graduate,0.102
40,9.48,10.54,733,16,Salaried,2,Single,Graduate,0.21
55,24.24,20.51,596,77,Self-Employed,0,Single,Post-Graduate,0.101
25,6.86,9.17,795,214,Unemployed,0,Single,Graduate,0.248
29,1.0,1.0,692,79,Self-Employed,2,Single,Graduate,0.133
49,15.22,4.71,769,97,Self-Employed,3,Married,Graduate,0.169
26,13.99,17.8,703,204,Unemployed,2,Single,Graduate,0.122
45,12.28,6.04,727,120,Salaried,3,Married,Graduate,0.117
51,6.86,1.2,691,125,Salaried,0,Married,Post-Graduate,0.182
42,11.72,3.24,722,91,Self-Employed,1,Married,High School,0.126
22,7.91,7.54,800,77,Self-Employed,1,Married,High School,0.178
65,9.58,9.1,573,180,Self-Employed,0,Married,Graduate,0.156
25,18.73,8.7,550,166,Unemployed,3,Single,High School,0.113
47,13.47,15.06,742,87,Salaried,4,Single,Post-Graduate,0.104
45,16.88,19.97,844,16,Self-Employed,3,Married,High School,0.214
28,10.15,14.1,869,144,Unemployed,1,Single,Graduate,0.226
21,9.26,8.51,577,97,Salaried,1,Single,Graduate,0.141
40,2.77,3.3,659,152,Unemployed,2,Single,Post-Graduate,0.044
64,9.04,10.44,552,91,Salaried,1,Single,Graduate,0.0
43,1.0,1.0,644,101,Unemployed,1,Married,Graduate,0.135
52,7.28,3.89,812,148,Unemployed,1,Married,Graduate,0.194
31,11.35,8.74,698,187,Salaried,0,Single,Graduate,0.164
59,16.51,2.09,662,43,Salaried,1,Married,Graduate,0.264
44,9.85,5.09,754,94,Salaried,1,Married,Graduate,0.225
31,14.78,11.28,620,47,Salaried,0,Married,Post-Graduate,0.192
49,1.0,1.0,859,231,Salaried,0,Single,Post-Graduate,0.231
46,11.55,3.2,700,154,Salaried,1,Married,Graduate,0.182
36,1.0,1.0,659,148,Salaried,1,Married,Post-Graduate,0.184
55,2.33,2.62,758,27,Salaried,1,Married,Graduate,0.251
40,10.5,13.31,793,17,Unemployed,1,Married,Graduate,0.259
23,22.21,19.21,859,83,Salaried,1,Single,Post-Graduate,0.241
21,14.97,11.45,679,172,Self-Employed,1,Single,Graduate,0.099
21,12.15,7.75,808,235,Salaried,2,Married,Graduate,0.184
37,11.84,4.38,710,121,Self-Employed,0,Single,Graduate,0.239
22,6.29,1.92,638,111,Unemployed,1,Single,Post-Graduate,0.191
49,7.65,9.25,622,181,Salaried,1,Married,Graduate,0.073
40,15.42,11.58,590,70,Salaried,1,Married,Graduate,0.085
26,1.0,1.21,625,47,Self-Employed,0,Single,Graduate,0.177
28,16.74,18.17,811,45,Salaried,0,Single,Graduate,0.138
49,8.89,3.3,770,141,Salaried,0,Married,Graduate,0.168
53,18.6,15.15,575,24,Salaried,1,Single,Post-Graduate,0.116
23,19.69,14.21,525,182,Salaried,1,Single,Graduate,0.039
55,1.0,1.0,588,213,Self-Employed,1,Married,Post-Graduate,0.085
25,7.35,6.32,622,68,Unemployed,3,Single,Post-Graduate,0.073
47,5.16,7.61,669,18,Salaried,0,Married,Graduate,0.159
64,1.0,1.24,817,198,Salaried,0,Single,Graduate,0.221
32,3.74,5.11,645,70,Salaried,2,Married,Graduate,0.149
40,31.53,4.46,868,122,Unemployed,1,Married,Post-Graduate,0.308
65,16.88,5.0,531,127,Unemployed,2,Married,High School,0.171
40,27.34,5.98,665,62,Salaried,1,Married,Graduate,0.184
29,18.63,8.73,778,14,Unemployed,1,Single,High School,0.226
59,6.07,4.36,784,166,Unemployed,0,Married,Graduate,0.318
24,8.95,8.94,666,217,Salaried,0,Single,Post-Graduate,0.034
39,16.71,13.39,800,65,Self-Employed,1,Married,Graduate,0.25
58,15.5,21.15,781,105,Salaried,0,Single,Graduate,0.167
